1.674575651313897628e-01,1.737069180150652425e-01
3.399385447645334457e-01,1.812106753148180482e-01
6.657056826174457820e-01,1.801810050715887679e-01
8.344690759128285951e-01,1.729581544477028499e-01
3.997270672876775399e-01,5.341618335920877980e-01
4.932305793111378955e-01,5.575851755965729462e-01
5.954135732735321707e-01,5.417110676556839977e-01
4.933898083376458965e-01,7.306381697199701986e-01
3.022326372951526507e-01,7.660743459490541030e-01
7.101841539186936059e-01,7.679701002127538034e-01
4.989675995169914891e-01,8.306246863320108087e-01
