1.674380124348894827e-01,2.543825719385554573e-01
3.779484762947481480e-01,2.852710473043363337e-01
6.607372994923857989e-01,3.641959076075777513e-01
8.349626099200424534e-01,4.485769746192892482e-01
4.004531126107295225e-01,4.785909833383100165e-01
4.936384375833581251e-01,5.186918167280448744e-01
5.863384539597226164e-01,5.418831829600876393e-01
4.741917956272185819e-01,6.302917522842638176e-01
2.917109323778243057e-01,6.625155418599250057e-01
5.879813894429514187e-01,7.492132589628746064e-01
4.372086347234664383e-01,7.461764199993364821e-01
