,img,keypoints,mask,subsetid
0,data_samples/samples_synthetic/images/img_0026986.png,data_samples/samples_synthetic/points/pts_0026986.csv,data_samples/samples_synthetic/masks/msk_0026986.png,0
1,data_samples/samples_synthetic/images/img_0013281.png,data_samples/samples_synthetic/points/pts_0013281.csv,data_samples/samples_synthetic/masks/msk_0013281.png,0
2,data_samples/samples_synthetic/images/img_0013412.png,data_samples/samples_synthetic/points/pts_0013412.csv,data_samples/samples_synthetic/masks/msk_0013412.png,0
3,data_samples/samples_synthetic/images/img_0010496.png,data_samples/samples_synthetic/points/pts_0010496.csv,data_samples/samples_synthetic/masks/msk_0010496.png,0
4,data_samples/samples_synthetic/images/img_0026092.png,data_samples/samples_synthetic/points/pts_0026092.csv,data_samples/samples_synthetic/masks/msk_0026092.png,0
5,data_samples/samples_synthetic/images/img_0026247.png,data_samples/samples_synthetic/points/pts_0026247.csv,data_samples/samples_synthetic/masks/msk_0026247.png,0
6,data_samples/samples_synthetic/images/img_0016424.png,data_samples/samples_synthetic/points/pts_0016424.csv,data_samples/samples_synthetic/masks/msk_0016424.png,0
7,data_samples/samples_synthetic/images/img_0002031.png,data_samples/samples_synthetic/points/pts_0002031.csv,data_samples/samples_synthetic/masks/msk_0002031.png,0
8,data_samples/samples_synthetic/images/img_0000549.png,data_samples/samples_synthetic/points/pts_0000549.csv,data_samples/samples_synthetic/masks/msk_0000549.png,0
9,data_samples/samples_synthetic/images/img_0020460.png,data_samples/samples_synthetic/points/pts_0020460.csv,data_samples/samples_synthetic/masks/msk_0020460.png,0
10,data_samples/samples_synthetic/images/img_0025435.png,data_samples/samples_synthetic/points/pts_0025435.csv,data_samples/samples_synthetic/masks/msk_0025435.png,0
11,data_samples/samples_synthetic/images/img_0008544.png,data_samples/samples_synthetic/points/pts_0008544.csv,data_samples/samples_synthetic/masks/msk_0008544.png,0
12,data_samples/samples_synthetic/images/img_0007485.png,data_samples/samples_synthetic/points/pts_0007485.csv,data_samples/samples_synthetic/masks/msk_0007485.png,0
