,img,keypoints,subsetid
0,data_samples/landmark_detection_samples_real/images/img_0000000.jpg,data_samples/landmark_detection_samples_real/points/pts_0000000.csv,0
1,data_samples/landmark_detection_samples_real/images/img_0000001.jpg,data_samples/landmark_detection_samples_real/points/pts_0000001.csv,0
2,data_samples/landmark_detection_samples_real/images/img_0000002.jpg,data_samples/landmark_detection_samples_real/points/pts_0000002.csv,0
3,data_samples/landmark_detection_samples_real/images/img_0000003.jpg,data_samples/landmark_detection_samples_real/points/pts_0000003.csv,0
4,data_samples/landmark_detection_samples_real/images/img_0000004.jpg,data_samples/landmark_detection_samples_real/points/pts_0000004.csv,0
5,data_samples/landmark_detection_samples_real/images/img_0000005.jpg,data_samples/landmark_detection_samples_real/points/pts_0000005.csv,0
6,data_samples/landmark_detection_samples_real/images/img_0000006.jpg,data_samples/landmark_detection_samples_real/points/pts_0000006.csv,0
7,data_samples/landmark_detection_samples_real/images/img_0000007.jpg,data_samples/landmark_detection_samples_real/points/pts_0000007.csv,0
8,data_samples/landmark_detection_samples_real/images/img_0000008.jpg,data_samples/landmark_detection_samples_real/points/pts_0000008.csv,0
9,data_samples/landmark_detection_samples_real/images/img_0000009.jpg,data_samples/landmark_detection_samples_real/points/pts_0000009.csv,0
10,data_samples/landmark_detection_samples_real/images/img_0000010.jpg,data_samples/landmark_detection_samples_real/points/pts_0000010.csv,0
11,data_samples/landmark_detection_samples_real/images/img_0000011.jpg,data_samples/landmark_detection_samples_real/points/pts_0000011.csv,0
12,data_samples/landmark_detection_samples_real/images/img_0000012.jpg,data_samples/landmark_detection_samples_real/points/pts_0000012.csv,0
13,data_samples/landmark_detection_samples_real/images/img_0000013.jpg,data_samples/landmark_detection_samples_real/points/pts_0000013.csv,0
14,data_samples/landmark_detection_samples_real/images/img_0000014.jpg,data_samples/landmark_detection_samples_real/points/pts_0000014.csv,0
15,data_samples/landmark_detection_samples_real/images/img_0000015.jpg,data_samples/landmark_detection_samples_real/points/pts_0000015.csv,0
16,data_samples/landmark_detection_samples_real/images/img_0000016.jpg,data_samples/landmark_detection_samples_real/points/pts_0000016.csv,0
17,data_samples/landmark_detection_samples_real/images/img_0000017.jpg,data_samples/landmark_detection_samples_real/points/pts_0000017.csv,0
18,data_samples/landmark_detection_samples_real/images/img_0000018.jpg,data_samples/landmark_detection_samples_real/points/pts_0000018.csv,0
19,data_samples/landmark_detection_samples_real/images/img_0000019.jpg,data_samples/landmark_detection_samples_real/points/pts_0000019.csv,0
